Miles ,"Litres, L","Cost, £",Cost / mile ,Miles /litres ,Miles/Gallon,Date,TotalMiles,Running Diff,
229.3,32,41.34,0.18,7.165625,32.57561293,,,,
415.7,47.06,59.25,0.14,8.833404165,40.15749567,,,,
336.3,42.37,,0.00,7.937219731,36.08335598,,,,
218.2,29.71,,0.00,7.344328509,33.38801608,,,,
263.1,30.16,33.45,0.13,8.723474801,39.65774632,,,,
350.8,40.5,46.55,0.13,8.661728395,39.37704129,,,,
340.2,41.16,45.65,0.13,8.265306122,37.57486792,03/01/2015,,,
529,58.35,62.02,0.12,9.065981148,41.21481276,13/02/2015,,,
366.9,42.87,45.83,0.12,8.55843247,38.90744819,,,,
453.5,55.85,61.94,0.14,8.11996419,36.91412967,19/03/2015,27041,,
316,36.38,40.35,0.13,8.686091259,39.48779718,30/03/2015,27357,316,
495.1,53.82,62.42,0.13,9.19918246,41.8203586,06/04/2015,27852,495,
539.6,59.18,66.22,0.12,9.117945252,41.45104652,10/04/2015,28391,539,
267.6,31.12,34.82,0.13,8.598971722,39.09174348,17/04/2015,28659,268,
299.5,36.54,41.25,0.14,8.19649699,37.26205506,30/04/2015,28958,299,
457.2,50.16,58.15,0.13,,41.43689582,09/05/2015,29416,458,
265.1,33.68,38.7,0.15,7.871140143,35.78295188,,29961,545,Wrong
219.2,24.23,27.84,0.13,9.046636401,41.1268697,04/06/2015,30180,219,
243.5,28.86,33.16,0.14,8.437283437,38.35669316,12/06/2015,30423,243,
158.6,20.96,24.08,0.15,7.566793893,34.39936488,29/06/2015,30967,544,Wrong
369.4,27.56,32.19,0.09,13.40348331,60.93351022,21/07/2015,31178,211,Wrong
278.7,29.75,32.99,0.12,9.368067227,42.58812481,21/08/2015,31756,578,
227.8,26.13,28.48,0.13,8.717948718,39.63262422,26/08/2015,31984,228,
188.4,21.24,23.13,0.12,8.870056497,40.32412066,30/08/2015,32172,188,
443.2,51.44,55.9,0.13,8.615863142,39.16853348,07/09/2015,32616,444,
189.3,24.81,26.27,0.14,7.629987908,34.68665088,01/10/2015,32805,189,
292.8,33.13,35.08,0.12,8.837911259,40.17798535,05/10/2015,33098,293,
335.6,35.55,39.78,0.12,9.440225035,42.91616107,09/10/2015,33433,335,
322.2,35.49,37.58,0.12,9.078613694,41.27224152,12/10/2015,33756,323,
171,19.79,20.96,0.12,8.64072764,39.28156986,19/12/2015,33927,171,
347.6,43.67,45.37,0.13,7.959697733,36.18554311,11/11/2015,34274,347,
,31.35,32.57,,,,26/11/2015,,,
335.1,38.44,38.4,0.11,8.71748179,39.63050152,14/12/2015,35078,804,
179.8,22.58,22.56,0.13,7.962798937,36.19964148,22/12/2015,35258,180,
299.7,32.89,32.86,0.11,9.112192156,41.4248924,24/12/2015,35558,300,
368.6,46.68,47.52,0.13,7.896315338,35.89740072,30/12/2015,35927,369,
185.8,26.1,26.07,0.14,7.118773946,32.36262358,14/01/2016,36113,186,
284.4,36.8,36.76,0.13,7.72826087,35.13340911,23/01/2016,36397,284,
289.2,35.54,35.5,0.12,8.137310073,36.99298571,03/02/2016,36686,289,
337,40.34,40.26,0.12,8.353991076,37.97803816,29/02/2016,36975.2,289.2,
304.9,38.73,38.69,0.13,7.872450297,35.78890797,07/03/2016,37329,353.8,
242.1,29.33,29.9,0.12,8.254347085,37.5250471,24/03/2016,37571,242,
312.4,34.13,35.8,0.11,9.153237621,41.61148899,28/03/2016,37883,312,
306.9,35.2,35.52,0.12,8.71875,39.63626693,30/03/2016,38190,307,
260.6,29.85,30.12,0.12,8.730318258,39.68885733,04/04/2016,38451,261,
,,,,,,,,-38451,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
